Airline,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Month_of_Journey,Day_of_Journey,Duration_min
Multiple carriers,Delhi,Cochin,9,21,2.0,No Info,6653,March,Wednesday,695
IndiGo,Delhi,Cochin,9,15,1.0,No Info,12214,March,Sunday,315
Air India,Mumbai,Hyderabad,13,15,0.0,No Info,3625,May,Wednesday,90
IndiGo,Banglore,New Delhi,8,11,0.0,No Info,6860,March,Sunday,180
GoAir,Delhi,Cochin,10,19,1.0,No Info,3876,June,Monday,540
Vistara,Banglore,Delhi,19,22,0.0,No Info,5613,April,Saturday,165
Air India,Delhi,Cochin,5,7,2.0,No Info,8971,March,Wednesday,825
Jet Airways,Banglore,Delhi,19,22,0.0,In-flight meal not included,4030,May,Tuesday,180
IndiGo,Delhi,Cochin,15,1,1.0,No Info,8075,March,Wednesday,635
Multiple carriers,Delhi,Cochin,6,21,1.0,No Info,7005,June,Saturday,180
IndiGo,Kolkata,Banglore,22,0,0.0,No Info,4778,March,Wednesday,165
Vistara,Chennai,Kolkata,7,9,0.0,No Info,3687,May,Thursday,135
Jet Airways,Delhi,Cochin,11,4,1.0,In-flight meal not included,10262,June,Sunday,295
IndiGo,Delhi,Cochin,10,1,1.0,No Info,6979,May,Monday,175
Multiple carriers,Delhi,Cochin,7,16,1.0,No Info,6717,March,Thursday,545
Jet Airways,Banglore,New Delhi,8,23,1.0,No Info,16736,March,Wednesday,125
Air India,Banglore,New Delhi,11,19,1.0,No Info,7192,March,Friday,480
IndiGo,Kolkata,Banglore,6,10,1.0,No Info,4226,April,Monday,250
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,9627,May,Tuesday,630
Jet Airways,Delhi,Cochin,2,19,1.0,In-flight meal not included,4757,April,Wednesday,285
Jet Airways,Kolkata,Banglore,14,22,1.0,No Info,14571,May,Friday,510
Air Asia,Kolkata,Banglore,6,10,1.0,No Info,5162,April,Monday,220
Jet Airways,Kolkata,Banglore,16,16,1.0,In-flight meal not included,10844,May,Saturday,710
SpiceJet,Kolkata,Banglore,9,11,0.0,In-flight meal not included,3815,March,Thursday,150
Jet Airways,Banglore,New Delhi,11,9,1.0,No Info,17261,March,Wednesday,590
Jet Airways,Banglore,New Delhi,21,7,1.0,No Info,16736,March,Wednesday,615
SpiceJet,Kolkata,Banglore,9,11,0.0,In-flight meal not included,3841,June,Friday,145
Jet Airways,Kolkata,Banglore,14,20,1.0,In-flight meal not included,10844,May,Friday,400
IndiGo,Delhi,Cochin,10,21,1.0,No Info,6838,March,Thursday,615
Air India,Kolkata,Banglore,12,13,1.0,No Info,6612,May,Sunday,795
Air India,Banglore,New Delhi,13,16,0.0,No Info,8851,March,Saturday,170
Vistara,Mumbai,Hyderabad,8,19,1.0,No Info,12395,March,Wednesday,670
Air Asia,Banglore,Delhi,4,7,0.0,No Info,4282,June,Monday,170
Jet Airways,Kolkata,Banglore,20,9,1.0,No Info,14781,May,Tuesday,80
Multiple carriers,Delhi,Cochin,9,22,1.0,No Info,9646,June,Wednesday,765
IndiGo,Delhi,Cochin,15,1,1.0,No Info,6628,May,Monday,630
Vistara,Banglore,Delhi,7,9,0.0,No Info,4668,June,Tuesday,160
Multiple carriers,Delhi,Cochin,18,1,1.0,No Info,16863,March,Wednesday,455
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,12192,June,Sunday,720
Jet Airways,Delhi,Cochin,2,4,1.0,No Info,12719,March,Thursday,850
Jet Airways,Delhi,Cochin,21,12,1.0,In-flight meal not included,12898,May,Tuesday,165
Jet Airways,Delhi,Cochin,19,19,1.0,In-flight meal not included,10262,June,Monday,675
SpiceJet,Kolkata,Banglore,15,21,1.0,No Info,7804,May,Friday,330
IndiGo,Kolkata,Banglore,4,7,0.0,No Info,4174,April,Thursday,155
IndiGo,Mumbai,Hyderabad,20,21,0.0,No Info,2227,June,Thursday,95
Jet Airways,Banglore,New Delhi,22,9,1.0,In-flight meal not included,11087,March,Monday,610
Multiple carriers,Delhi,Cochin,8,18,1.0,No Info,11667,March,Thursday,650
Air India,Delhi,Cochin,18,21,0.0,No Info,7931,March,Wednesday,185
IndiGo,Chennai,Kolkata,22,0,0.0,No Info,5277,June,Wednesday,140
Jet Airways,Kolkata,Banglore,6,18,1.0,No Info,13626,June,Wednesday,705
Jet Airways,Delhi,Cochin,18,4,1.0,In-flight meal not included,12373,May,Saturday,610
Jet Airways,Kolkata,Banglore,6,18,1.0,In-flight meal not included,10031,March,Sunday,700
Jet Airways,Kolkata,Banglore,16,20,1.0,In-flight meal not included,10844,May,Sunday,975
GoAir,Delhi,Cochin,10,19,1.0,No Info,6591,May,Thursday,540
Jet Airways,Delhi,Cochin,18,19,1.0,In-flight meal not included,5406,April,Monday,765
Jet Airways,Kolkata,Banglore,21,16,1.0,In-flight meal not included,10844,May,Wednesday,430
SpiceJet,Mumbai,Hyderabad,22,0,0.0,No Info,2017,May,Monday,90
Jet Airways,Delhi,Cochin,10,12,1.0,In-flight meal not included,12373,May,Thursday,875
Air India,Delhi,Cochin,7,19,1.0,No Info,8669,June,Thursday,735
Air Asia,Delhi,Cochin,7,15,1.0,No Info,6151,March,Wednesday,470
Multiple carriers,Delhi,Cochin,9,22,1.0,No Info,10348,May,Saturday,765
Jet Airways,Banglore,New Delhi,19,22,0.0,No Info,8016,March,Sunday,160
IndiGo,Banglore,Delhi,8,11,0.0,No Info,4823,June,Wednesday,170
Air India,Kolkata,Banglore,14,16,0.0,No Info,5510,May,Tuesday,150
Air India,Mumbai,Hyderabad,6,7,0.0,No Info,3100,March,Monday,80
Jet Airways,Delhi,Cochin,11,19,1.0,No Info,14714,June,Saturday,450
Jet Airways,Delhi,Cochin,10,19,1.0,In-flight meal not included,10262,June,Saturday,540
Air India,Banglore,Delhi,17,19,0.0,No Info,6961,June,Tuesday,170
IndiGo,Delhi,Cochin,17,1,1.0,No Info,6206,May,Monday,480
Air India,Banglore,New Delhi,8,22,2.0,No Info,7904,March,Friday,160
Jet Airways,Delhi,Cochin,19,12,2.0,No Info,12819,June,Thursday,325
Jet Airways,Delhi,Cochin,21,12,1.0,In-flight meal not included,10262,June,Saturday,165
IndiGo,Banglore,Delhi,1,4,0.0,No Info,4591,April,Sunday,165
Jet Airways,Delhi,Cochin,9,12,2.0,In-flight meal not included,10368,June,Monday,895
Multiple carriers,Delhi,Cochin,7,19,1.0,In-flight meal not included,11142,May,Thursday,730
Air India,Delhi,Cochin,5,8,0.0,No Info,4729,April,Saturday,170
Multiple carriers,Delhi,Cochin,13,1,1.0,No Info,9424,May,Thursday,750
Multiple carriers,Delhi,Cochin,9,15,1.0,In-flight meal not included,15136,March,Wednesday,390
Air India,Delhi,Cochin,17,7,2.0,No Info,12199,May,Saturday,145
Jet Airways,Delhi,Cochin,11,4,1.0,In-flight meal not included,10262,June,Wednesday,295
IndiGo,Delhi,Cochin,14,17,0.0,No Info,4729,April,Wednesday,195
SpiceJet,Kolkata,Banglore,17,19,0.0,In-flight meal not included,3841,June,Sunday,150
Jet Airways,Kolkata,Banglore,18,9,1.0,No Info,14388,May,Saturday,145
IndiGo,Mumbai,Hyderabad,2,4,0.0,No Info,2754,June,Thursday,90
Air India,Banglore,New Delhi,8,10,2.0,No Info,12358,March,Sunday,825
Air India,Kolkata,Banglore,9,4,2.0,No Info,6117,May,Wednesday,450
Jet Airways,Delhi,Cochin,5,4,2.0,No Info,15129,May,Friday,655
Jet Airways,Kolkata,Banglore,21,8,1.0,No Info,14388,May,Wednesday,665
Air India,Delhi,Cochin,12,9,1.0,No Info,7480,June,Monday,535
Multiple carriers,Delhi,Cochin,6,12,1.0,In-flight meal not included,10791,June,Thursday,395
Jet Airways,Delhi,Cochin,7,4,1.0,No Info,12452,March,Wednesday,560
IndiGo,Kolkata,Banglore,19,23,1.0,No Info,4226,May,Tuesday,235
Vistara,Banglore,Delhi,21,23,0.0,No Info,5403,April,Monday,170
Multiple carriers,Delhi,Cochin,9,22,1.0,No Info,9646,June,Saturday,765
Multiple carriers,Delhi,Cochin,8,15,1.0,No Info,7845,March,Wednesday,395
IndiGo,Chennai,Kolkata,19,21,0.0,No Info,3384,March,Thursday,140
IndiGo,Chennai,Kolkata,19,21,0.0,No Info,3597,June,Saturday,140
Air Asia,Delhi,Cochin,16,7,1.0,No Info,13474,March,Sunday,145
IndiGo,Chennai,Kolkata,13,15,0.0,No Info,3384,March,Thursday,135
Jet Airways,Delhi,Cochin,5,19,2.0,No Info,15129,May,Monday,90
Jet Airways,Kolkata,Banglore,6,8,1.0,In-flight meal not included,8586,May,Tuesday,825
IndiGo,Banglore,Delhi,23,2,0.0,No Info,4591,June,Sunday,170
Jet Airways,Delhi,Cochin,11,12,2.0,No Info,13882,June,Thursday,770
Multiple carriers,Delhi,Cochin,13,1,1.0,No Info,18286,March,Sunday,755
Air Asia,Kolkata,Banglore,7,19,1.0,No Info,5192,May,Wednesday,710
Jet Airways,Delhi,Cochin,9,12,2.0,In-flight meal not included,11118,June,Thursday,895
IndiGo,Delhi,Cochin,6,15,1.0,No Info,14871,March,Sunday,530
Air India,Kolkata,Banglore,10,5,2.0,No Info,15107,May,Friday,445
Air India,Delhi,Cochin,7,19,1.0,No Info,8669,June,Wednesday,735
GoAir,Kolkata,Banglore,16,0,1.0,No Info,5171,April,Monday,455
Jet Airways,Kolkata,Banglore,16,12,1.0,In-flight meal not included,8529,June,Wednesday,450
Jet Airways,Delhi,Cochin,23,4,1.0,In-flight meal not included,7438,March,Wednesday,320
IndiGo,Delhi,Cochin,17,1,1.0,No Info,6206,June,Sunday,500
Air India,Banglore,Delhi,17,19,0.0,No Info,7171,June,Sunday,165
Jet Airways,Kolkata,Banglore,9,14,1.0,No Info,14151,June,Sunday,1010
Jet Airways,Kolkata,Banglore,18,8,1.0,No Info,14939,June,Sunday,80
Jet Airways,Banglore,New Delhi,11,11,1.0,No Info,8450,March,Friday,705
Jet Airways,Delhi,Cochin,9,4,2.0,No Info,13882,June,Wednesday,420
Vistara,Kolkata,Banglore,20,18,1.0,No Info,9555,May,Saturday,630
IndiGo,Kolkata,Banglore,20,22,0.0,No Info,4804,April,Saturday,155
Vistara,Chennai,Kolkata,7,9,0.0,No Info,6627,March,Friday,135
Jet Airways,Kolkata,Banglore,6,12,1.0,In-flight meal not included,8586,May,Sunday,330
IndiGo,Kolkata,Banglore,22,0,0.0,No Info,4804,May,Thursday,155
Air India,Banglore,New Delhi,8,23,2.0,No Info,17135,March,Friday,335
Jet Airways,Delhi,Cochin,10,19,1.0,No Info,15554,May,Thursday,540
IndiGo,Delhi,Cochin,8,21,1.0,No Info,6838,May,Monday,750
IndiGo,Delhi,Cochin,7,12,1.0,No Info,8258,March,Sunday,265
GoAir,Delhi,Cochin,10,19,1.0,No Info,8213,March,Wednesday,535
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,12192,June,Thursday,720
Multiple carriers,Delhi,Cochin,10,19,1.0,No Info,14848,June,Monday,555
IndiGo,Kolkata,Banglore,15,17,0.0,No Info,4148,March,Thursday,155
Jet Airways,Kolkata,Banglore,20,12,1.0,In-flight meal not included,10844,June,Thursday,240
Jet Airways,Kolkata,Banglore,18,22,1.0,In-flight meal not included,10844,May,Saturday,940
Multiple carriers,Delhi,Cochin,19,1,1.0,No Info,6795,June,Monday,390
Jet Airways,Kolkata,Banglore,16,4,1.0,No Info,14781,May,Wednesday,730
IndiGo,Delhi,Cochin,7,12,1.0,No Info,6582,June,Thursday,315
Multiple carriers,Delhi,Cochin,9,22,1.0,No Info,9646,June,Thursday,765
SpiceJet,Banglore,New Delhi,15,23,1.0,1 Long layover,7744,March,Friday,485
Jet Airways,Delhi,Cochin,9,12,2.0,In-flight meal not included,11733,June,Thursday,895
Jet Airways,Delhi,Cochin,9,4,1.0,In-flight meal not included,10262,June,Saturday,445
Jet Airways,Banglore,New Delhi,5,12,1.0,No Info,17524,March,Tuesday,390
SpiceJet,Mumbai,Hyderabad,22,0,0.0,No Info,3603,March,Saturday,85
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,7564,May,Saturday,705
Multiple carriers,Delhi,Cochin,10,21,1.0,No Info,7005,June,Sunday,640
IndiGo,Delhi,Cochin,9,1,1.0,No Info,14871,March,Sunday,265
Air Asia,Banglore,Delhi,4,7,0.0,No Info,4282,April,Thursday,170
Jet Airways,Delhi,Cochin,23,12,2.0,No Info,15129,May,Monday,90
Air Asia,Delhi,Cochin,16,22,1.0,No Info,6752,June,Monday,340
Air India,Delhi,Cochin,14,17,0.0,No Info,6094,May,Tuesday,230
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,8266,June,Thursday,630
GoAir,Banglore,Delhi,20,23,0.0,No Info,6722,April,Friday,165
Air India,Mumbai,Hyderabad,13,15,0.0,No Info,2575,April,Wednesday,90
Multiple carriers,Delhi,Cochin,6,19,1.0,No Info,7787,May,Tuesday,755
IndiGo,Delhi,Cochin,2,7,1.0,No Info,9257,March,Sunday,345
Jet Airways,Banglore,Delhi,18,22,0.0,In-flight meal not included,4030,May,Sunday,185
SpiceJet,Banglore,Delhi,21,0,0.0,No Info,4991,May,Friday,175
IndiGo,Delhi,Cochin,7,13,1.0,No Info,9861,March,Thursday,350
IndiGo,Banglore,New Delhi,16,21,1.0,No Info,10406,March,Friday,285
Jet Airways,Banglore,Delhi,15,18,0.0,In-flight meal not included,7229,June,Sunday,175
Multiple carriers,Delhi,Cochin,8,21,1.0,No Info,7670,May,Wednesday,735
Jet Airways,Delhi,Cochin,20,4,2.0,No Info,14300,June,Monday,505
Vistara,Kolkata,Banglore,7,10,1.0,No Info,8452,May,Wednesday,935
SpiceJet,Kolkata,Banglore,14,17,0.0,No Info,3873,April,Saturday,150
SpiceJet,Kolkata,Banglore,8,17,1.0,No Info,6853,June,Sunday,520
Jet Airways,Delhi,Cochin,19,12,1.0,No Info,14714,June,Monday,320
IndiGo,Kolkata,Banglore,17,19,0.0,No Info,4804,June,Wednesday,155
IndiGo,Kolkata,Banglore,9,14,1.0,No Info,11465,May,Thursday,295
IndiGo,Banglore,Delhi,23,2,0.0,No Info,4591,April,Sunday,170
IndiGo,Delhi,Cochin,9,1,1.0,No Info,6628,June,Sunday,255
IndiGo,Delhi,Cochin,2,7,1.0,No Info,8025,March,Wednesday,345
Air Asia,Delhi,Cochin,7,15,1.0,No Info,6152,June,Wednesday,470
IndiGo,Banglore,Delhi,10,13,0.0,No Info,3943,April,Wednesday,170
Vistara,Kolkata,Banglore,7,10,1.0,No Info,9187,June,Thursday,935
Vistara,Kolkata,Banglore,20,10,1.0,No Info,9187,May,Tuesday,145
Multiple carriers,Delhi,Cochin,9,16,1.0,No Info,10276,March,Wednesday,385
Multiple carriers,Delhi,Cochin,3,19,1.0,No Info,12192,June,Saturday,190
Air Asia,Kolkata,Banglore,19,23,1.0,No Info,5554,March,Sunday,215
Air India,Delhi,Cochin,7,19,1.0,No Info,6377,March,Wednesday,735
IndiGo,Delhi,Cochin,20,1,1.0,No Info,6232,March,Thursday,305
IndiGo,Delhi,Cochin,5,10,1.0,No Info,6496,May,Thursday,295
IndiGo,Banglore,Delhi,18,21,0.0,No Info,4823,June,Monday,185
IndiGo,Kolkata,Banglore,19,23,1.0,No Info,6116,June,Thursday,220
Jet Airways,Kolkata,Banglore,20,18,1.0,In-flight meal not included,7757,May,Thursday,615
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,8266,May,Tuesday,630
SpiceJet,Kolkata,Banglore,6,9,0.0,No Info,3873,May,Tuesday,155
Jet Airways,Kolkata,Banglore,21,10,1.0,In-flight meal not included,11841,May,Wednesday,775
IndiGo,Banglore,Delhi,10,13,0.0,No Info,3943,June,Saturday,170
Multiple carriers,Delhi,Cochin,11,19,1.0,No Info,15898,May,Monday,465
Jet Airways,Kolkata,Banglore,17,21,1.0,No Info,14151,May,Wednesday,965
Jet Airways,Delhi,Cochin,16,4,1.0,In-flight meal not included,10577,June,Sunday,745
Air India,Banglore,Delhi,6,8,0.0,No Info,4441,April,Wednesday,165
Jet Airways,Delhi,Cochin,11,12,1.0,In-flight meal not included,5177,April,Saturday,785
Air India,Kolkata,Banglore,20,23,0.0,No Info,4460,April,Monday,155
Multiple carriers,Delhi,Cochin,8,21,1.0,No Info,13727,May,Saturday,60
Jet Airways,Delhi,Cochin,16,12,1.0,No Info,14714,June,Monday,515
Jet Airways,Delhi,Cochin,21,19,2.0,In-flight meal not included,10588,June,Thursday,575
Jet Airways,Delhi,Cochin,9,18,1.0,In-flight meal not included,7438,March,Thursday,590
Air India,Delhi,Cochin,20,9,1.0,No Info,12677,March,Wednesday,765
Jet Airways,Delhi,Cochin,18,19,1.0,No Info,14714,June,Thursday,765
IndiGo,Mumbai,Hyderabad,12,13,0.0,No Info,2754,June,Monday,90
IndiGo,Delhi,Cochin,7,21,2.0,No Info,6494,March,Thursday,105
IndiGo,Banglore,New Delhi,16,20,1.0,No Info,5607,March,Friday,260
Jet Airways,Banglore,New Delhi,22,21,1.0,No Info,8450,March,Friday,630
IndiGo,Banglore,Delhi,7,10,0.0,No Info,4823,May,Friday,175
Air India,Mumbai,Hyderabad,21,22,0.0,No Info,2050,March,Thursday,80
Air India,Banglore,New Delhi,8,23,1.0,No Info,12127,March,Tuesday,145
Multiple carriers,Delhi,Cochin,18,1,1.0,No Info,13377,June,Wednesday,435
Vistara,Delhi,Cochin,6,9,0.0,No Info,6216,April,Wednesday,190
Air India,Delhi,Cochin,18,21,0.0,No Info,8456,June,Sunday,185
Jet Airways,Delhi,Cochin,19,12,2.0,No Info,15129,May,Saturday,325
Jet Airways,Banglore,New Delhi,16,7,1.0,No Info,13817,March,Tuesday,165
GoAir,Delhi,Cochin,7,13,1.0,No Info,6296,May,Monday,370
Air India,Kolkata,Banglore,14,16,0.0,No Info,5170,March,Thursday,150
SpiceJet,Banglore,Delhi,21,0,0.0,In-flight meal not included,3919,May,Friday,175
IndiGo,Banglore,Delhi,7,10,0.0,No Info,4823,April,Wednesday,175
Jet Airways,Delhi,Cochin,10,4,1.0,In-flight meal not included,10262,June,Monday,385
Jet Airways,Delhi,Cochin,14,12,2.0,No Info,13882,June,Sunday,630
Multiple carriers,Delhi,Cochin,13,21,1.0,No Info,13587,June,Thursday,480
Jet Airways,Delhi,Cochin,0,4,1.0,In-flight meal not included,11848,March,Saturday,965
Air India,Mumbai,Hyderabad,10,23,1.0,No Info,11678,March,Wednesday,105
SpiceJet,Banglore,Delhi,21,0,0.0,In-flight meal not included,3919,April,Monday,175
Vistara,Chennai,Kolkata,17,20,0.0,No Info,11982,June,Wednesday,140
Jet Airways,Kolkata,Banglore,9,18,1.0,In-flight meal not included,10703,May,Wednesday,505
Jet Airways,Kolkata,Banglore,18,23,1.0,In-flight meal not included,10844,May,Saturday,1000
Jet Airways,Kolkata,Banglore,18,19,1.0,In-flight meal not included,10844,May,Wednesday,775
IndiGo,Mumbai,Hyderabad,16,18,0.0,No Info,3175,June,Thursday,90
Air India,Delhi,Cochin,8,19,1.0,No Info,9929,June,Saturday,675
Jet Airways,Banglore,New Delhi,14,19,1.0,No Info,19225,March,Wednesday,305
SpiceJet,Mumbai,Hyderabad,5,7,0.0,No Info,2017,May,Friday,90
Jet Airways,Banglore,New Delhi,11,12,1.0,In-flight meal not included,7832,March,Thursday,755
Jet Airways,Kolkata,Banglore,6,9,1.0,In-flight meal not included,9663,May,Wednesday,890
Multiple carriers,Delhi,Cochin,11,21,1.0,No Info,7005,June,Sunday,560
IndiGo,Mumbai,Hyderabad,2,4,0.0,No Info,3175,May,Sunday,90
Air India,Kolkata,Banglore,14,15,1.0,No Info,5006,April,Monday,765
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,9526,June,Saturday,630
IndiGo,Delhi,Cochin,21,3,1.0,No Info,6058,May,Thursday,345
Air India,Delhi,Cochin,5,7,1.0,No Info,10493,June,Monday,865
Jet Airways,Kolkata,Banglore,16,22,1.0,In-flight meal not included,10844,June,Sunday,365
Jet Airways,Kolkata,Banglore,9,21,1.0,No Info,10953,April,Monday,690
Jet Airways,Kolkata,Banglore,20,12,1.0,In-flight meal not included,10844,May,Tuesday,240
Jet Airways,Kolkata,Banglore,20,9,1.0,In-flight meal not included,10539,June,Thursday,80
Vistara,Delhi,Cochin,6,9,0.0,No Info,6741,May,Saturday,190
Jet Airways,Kolkata,Banglore,20,9,1.0,No Info,14571,June,Thursday,80
Jet Airways,Kolkata,Banglore,8,18,1.0,No Info,14781,May,Thursday,590
IndiGo,Mumbai,Hyderabad,16,18,0.0,No Info,3838,May,Saturday,90
Air India,Delhi,Cochin,14,17,0.0,No Info,5201,June,Tuesday,230
Air Asia,Delhi,Cochin,7,15,1.0,No Info,8759,June,Sunday,470
GoAir,Delhi,Cochin,7,12,1.0,No Info,6195,April,Wednesday,355
Air India,Mumbai,Hyderabad,19,20,0.0,No Info,3100,March,Friday,75
SpiceJet,Delhi,Cochin,17,22,1.0,No Info,5975,May,Saturday,295
Jet Airways,Kolkata,Banglore,14,23,1.0,In-flight meal not included,10844,June,Sunday,570
Jet Airways,Delhi,Cochin,20,4,1.0,No Info,16079,May,Monday,450
SpiceJet,Chennai,Kolkata,8,10,0.0,In-flight meal not included,3543,May,Monday,135
Jet Airways,Delhi,Cochin,19,12,1.0,In-flight meal not included,10262,June,Saturday,320
Jet Airways,Kolkata,Banglore,9,23,1.0,No Info,12692,June,Wednesday,120
Jet Airways,Delhi,Cochin,8,4,1.0,In-flight meal not included,12373,May,Saturday,505
Air India,Mumbai,Hyderabad,13,15,0.0,No Info,3100,March,Thursday,90
Vistara,Banglore,Delhi,19,22,0.0,No Info,4878,May,Saturday,165
Multiple carriers,Delhi,Cochin,8,21,1.0,No Info,9845,March,Thursday,725
IndiGo,Banglore,Delhi,1,4,0.0,No Info,4077,May,Wednesday,165
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,9315,May,Tuesday,690
Jet Airways,Kolkata,Banglore,14,23,1.0,No Info,14781,May,Thursday,570
Air India,Banglore,New Delhi,17,19,0.0,No Info,9481,March,Saturday,170
Jet Airways,Delhi,Cochin,5,19,2.0,In-flight meal not included,8938,March,Wednesday,335
Jet Airways,Kolkata,Banglore,6,12,1.0,No Info,14388,May,Thursday,330
Air India,Delhi,Cochin,20,23,1.0,No Info,5704,March,Thursday,870
GoAir,Banglore,Delhi,7,10,0.0,No Info,3898,June,Sunday,175
Jet Airways,Mumbai,Hyderabad,2,4,0.0,No Info,5678,March,Wednesday,90
IndiGo,Delhi,Cochin,7,12,1.0,No Info,6937,March,Saturday,265
IndiGo,Mumbai,Hyderabad,19,20,0.0,No Info,2754,March,Thursday,85
SpiceJet,Mumbai,Hyderabad,22,0,0.0,In-flight meal not included,2647,March,Friday,85
IndiGo,Kolkata,Banglore,6,10,1.0,No Info,4226,May,Tuesday,240
GoAir,Banglore,Delhi,7,10,0.0,No Info,4239,May,Saturday,175
IndiGo,Delhi,Cochin,23,4,1.0,No Info,9165,June,Thursday,305
Jet Airways,Banglore,New Delhi,19,22,0.0,No Info,18308,March,Friday,160
Multiple carriers,Delhi,Cochin,7,15,1.0,No Info,14486,March,Thursday,505
Air Asia,Banglore,Delhi,4,7,0.0,No Info,4282,April,Tuesday,170
Multiple carriers,Delhi,Cochin,8,21,1.0,No Info,13587,June,Thursday,60
Multiple carriers,Delhi,Cochin,11,21,1.0,No Info,13587,June,Monday,570
Jet Airways,Delhi,Cochin,8,4,1.0,In-flight meal not included,6645,March,Wednesday,505
SpiceJet,Banglore,Delhi,5,8,0.0,No Info,4423,April,Monday,160
Air India,Banglore,New Delhi,17,23,2.0,No Info,11518,March,Monday,1080
Jet Airways,Kolkata,Banglore,13,4,1.0,No Info,13759,March,Sunday,170
SpiceJet,Banglore,Delhi,5,8,0.0,No Info,3625,June,Tuesday,160
IndiGo,Kolkata,Banglore,5,8,0.0,No Info,4148,March,Friday,170
Vistara,Banglore,Delhi,17,19,0.0,No Info,5613,April,Wednesday,155
Air India,Kolkata,Banglore,10,10,2.0,No Info,14298,May,Monday,720
Jet Airways,Banglore,New Delhi,8,21,1.0,In-flight meal not included,7832,March,Thursday,80
IndiGo,Delhi,Cochin,8,18,1.0,No Info,6442,May,Tuesday,575
Jet Airways,Mumbai,Hyderabad,2,4,0.0,No Info,5678,April,Monday,85
Jet Airways,Kolkata,Banglore,18,4,1.0,In-flight meal not included,7064,April,Monday,585
Jet Airways,Kolkata,Banglore,17,9,1.0,No Info,14151,May,Saturday,285
Jet Airways,Delhi,Cochin,17,4,1.0,No Info,15554,March,Saturday,660
Air India,Banglore,New Delhi,0,8,1.0,No Info,13859,March,Monday,495
SpiceJet,Kolkata,Banglore,22,0,0.0,No Info,3847,March,Friday,140
GoAir,Banglore,New Delhi,15,20,1.0,No Info,7657,March,Saturday,265
Jet Airways,Banglore,Delhi,7,10,0.0,No Info,7229,May,Monday,180
IndiGo,Mumbai,Hyderabad,20,21,0.0,No Info,2227,June,Tuesday,95
SpiceJet,Banglore,Delhi,5,8,0.0,No Info,3971,June,Friday,160
IndiGo,Delhi,Cochin,9,1,1.0,No Info,6628,June,Thursday,255
Jet Airways,Kolkata,Banglore,21,10,1.0,No Info,13584,May,Monday,775
SpiceJet,Kolkata,Banglore,6,9,0.0,No Info,4148,March,Thursday,160
Jet Airways,Kolkata,Banglore,6,18,1.0,No Info,14571,June,Sunday,705
SpiceJet,Kolkata,Banglore,22,0,0.0,In-flight meal not included,3841,May,Tuesday,140
Jet Airways,Banglore,Delhi,6,8,0.0,In-flight meal not included,5198,April,Friday,165
Air Asia,Banglore,Delhi,4,7,0.0,No Info,3383,April,Wednesday,170
IndiGo,Delhi,Cochin,21,0,0.0,No Info,5021,April,Wednesday,195
GoAir,Banglore,Delhi,20,23,0.0,No Info,4239,May,Friday,165
Jet Airways,Delhi,Cochin,19,12,2.0,No Info,15129,May,Monday,305
Vistara,Banglore,New Delhi,7,9,0.0,No Info,21520,March,Friday,160
IndiGo,Delhi,Cochin,5,8,0.0,No Info,7673,March,Sunday,195
IndiGo,Banglore,Delhi,20,22,0.0,No Info,4823,June,Tuesday,170
Jet Airways,Delhi,Cochin,7,19,1.0,In-flight meal not included,15190,June,Saturday,715
Jet Airways,Kolkata,Banglore,8,22,1.0,No Info,14781,May,Saturday,130
IndiGo,Kolkata,Banglore,15,18,0.0,No Info,4804,May,Saturday,155
Jet Airways,Delhi,Cochin,13,12,1.0,In-flight meal not included,10262,June,Saturday,695
IndiGo,Delhi,Cochin,9,21,1.0,No Info,7503,May,Wednesday,705
Jet Airways,Banglore,Delhi,11,14,0.0,No Info,8016,June,Saturday,175
IndiGo,Mumbai,Hyderabad,6,7,0.0,No Info,4049,June,Sunday,90
Air India,Banglore,New Delhi,5,12,1.0,No Info,12389,March,Sunday,425
SpiceJet,Chennai,Kolkata,17,20,0.0,No Info,3597,May,Sunday,140
Multiple carriers,Delhi,Cochin,11,1,1.0,No Info,13727,May,Wednesday,120
Jet Airways,Mumbai,Hyderabad,2,4,0.0,No Info,5678,May,Wednesday,85
Multiple carriers,Delhi,Cochin,10,21,1.0,No Info,7670,May,Thursday,640
Jet Airways,Kolkata,Banglore,14,23,1.0,In-flight meal not included,10844,May,Saturday,570
Jet Airways,Kolkata,Banglore,16,18,1.0,In-flight meal not included,7064,April,Monday,825
Multiple carriers,Delhi,Cochin,9,21,1.0,No Info,8930,June,Monday,720
Air Asia,Banglore,Delhi,4,7,0.0,No Info,4282,April,Monday,170
IndiGo,Banglore,Delhi,8,11,0.0,No Info,4823,June,Friday,170
Jet Airways,Delhi,Cochin,7,4,1.0,In-flight meal not included,12373,May,Thursday,560
Jet Airways,Banglore,New Delhi,7,20,1.0,In-flight meal not included,11087,March,Saturday,80
